text,text_number,label
"this. I think you know my fortunes Do all lie there: it shall be so my care To have you royally appointed as if The scene you play were mine. For instance, sir, That you may know you shall not want,—one word. [_They talk aside._] Enter Autolycus. AUTOLYCUS. Ha, ha! what a fool Honesty is! and Trust, his sworn brother, a very simple gentleman! I have sold all my trumpery. Not a counterfeit stone, not a ribbon, glass,",1539,1500s
"Jackson's administration makes peculiarly proper at this time, and which it is my privilege, and perhaps my duty, to execute, as being the suitable conclusion to the arduous contest in which we have been so long engaged. I allude to the general tenor of his administration, and to its effect, for good or for evil, upon the condition of his country. This is the proper time for such a view to be taken. The political existence of this great man now draws to a close. In little more than forty days he ceases to be an object of",741,1700s
"Percy. NORTHUMBERLAND. It is my son, young Harry Percy, Sent from my brother Worcester, whencesoever. Harry, how fares your uncle? PERCY. I had thought, my lord, to have learned his health of you. NORTHUMBERLAND. Why, is he not with the Queen? PERCY. No, my good lord. He hath forsook the court, Broken his staff of office, and dispersed The household of the King. NORTHUMBERLAND. What was his reason? He was not so resolved when last we spake together. PERCY. Because your lordship was proclaimed traitor. But he, my lord, is gone to Ravenspurgh To",1512,1500s
"but merely an irreligious curiosity. As respects one great division of miraculous agency, it is clear, therefore, that Hume's argument does not apply. The arrow glances past: not so much missing its aim as taking a false one. The _hiatus_ which it supposes, the insulation and incommunicability which it charges upon the miraculous as a capital oversight, was part of the design: such mysterious agencies were _meant_ to be incommunicable, and for the same reason which shuts up each man's consciousness into a silent world of its own--separate",6123,1700s
"That come before the swallow dares, and take The winds of March with beauty; violets, dim But sweeter than the lids of Juno's eyes Or Cytherea's breath; pale primroses, That die unmarried ere they can behold Bright Phoebus in his strength- a malady Most incident to maids; bold oxlips, and The crown-imperial; lilies of all kinds, The flow'r-de-luce being one. O, these I lack To make you garlands of, and my sweet friend To strew him o'er and o'er! FLORIZEL. What, like a corse? PERDITA. No; like a",1800,1500s
"again the adversaries will cry out that there is no need of good works if they do not merit eternal life. These calumnies we have refuted above. Of course, it is necessary to do good works. We say that eternal life has been promised to the justified. But those who walk according to the flesh retain neither faith nor righteousness. We are for this very end justified, that, being righteous we may begin to do good works and to obey God's Law. We are",6744,1400s
"person, a true lover of his country, and whose virtues I highly esteem, was lately pleased in discoursing on this matter, to offer a refinement upon my scheme. He said, that many gentlemen of this kingdom, having of late destroyed their deer, he conceived that the want of venison might be well supplied by the bodies of young lads and maidens, not exceeding fourteen years of age, nor under twelve; so great a number of both sexes in every county being now ready to starve for want of work and service:",1080,1600s
"borne off captive to the dungeons of these castles. The worthy bishop, like a good pastor, beheld with grief of heart his fat bishopric daily waxing leaner and leaner and poorer and poorer, and his holy ire was kindled at the thoughts that the possessions of the Church should thus be at the mercy of a crew of infidels. It was the urgent counsel of the bishop, therefore, that the military force thus providentially assembled in the neighborhood, since it was apparently foiled",3293,1700s
"to take care of his own body for the very purpose that, by its soundness and well-being, he may be enabled to labour, and to acquire and preserve property, for the aid of those who are in want, that thus the stronger member may serve the weaker member, and we may be children of God, thoughtful and busy one for another, bearing one another's burdens, and so fulfilling the law of Christ. Here is the truly Christian life, here is faith really working by love, when a man applies himself with joy and love to the works of that freest servitude in which",1911,1400s
"discipline, as in a carefully planned prison. Gradually, many other observances were added besides vows. And these fetters were laid upon many before the lawful age, contrary to the Canons. Many also entered into this kind of life through ignorance, being unable to judge their own strength, though they were of sufficient age. Being thus ensnared, they were compelled to remain, even though some could have been freed by the kind",275,1400s
"to be in Lord Liverpool's place; and as a confirmation of this, it is added, that he will not appoint to the situations in his household till after Parliament has met. Have the kindness not to cite me in the _most remote manner_ for this communication. The accounts from the South of Ireland are bad. The White Boys have treated some of Lord Bantry's people who have unhappily fallen into their hands as Owen Glendower's Welshmen treated the English in Henry IV.'s time--stuck their heads on poles, &c. &c. On my way here to-day I",22553,1700s
"have been composed of a _spiritual material_, if it be possible to unite, in any way, two such opposites. Then comes the question, from whence is this spiritual material obtained, and also if there are spirit manufactories, spirit weavers and spinners, and spirit tanners and ""tan pits?"" If this be so, then there must, of course, be ghost tailors, working with ghosts of needles (how sharp _they_ must be!), and ghosts of threads (and",36512,1700s
"and answered, ‘Well, if anybody has a right to put that question, it is I! And if _I_ do not put it, it will certainly be wiser for you not to do so!’ Then he picked up some cards, and played with the unknown men as if he had known them all his life. The luck was on his side, and soon the money of the other gamblers found its way from their pockets into his. On the stroke of midnight the cock crew, and in an instant lights, table, cards, and people all had vanished, and Hans was left alone. He groped about for some time, till he found the staircase in the tower, and",641,1800s
"As Jane walked out below the hill, She saw an old man standing still, His eyes in tranced sorrow bound On the broad stretch of barren ground. His limbs were knarled like aged trees, His thin beard wrapt about his knees, His visage broad and parchment white, Aglint with pale reflected light. He seemed a creature fall'n afar From some dim planet or faint star. Jane scanned him very close, and soon Cried, ""'Tis the old man from the",1418,1800s
"CHILTERN. Yes; my wife is as perfect as all that. LORD GORING. [_Taking off his left-hand glove_.] What a pity! I beg your pardon, my dear fellow, I didn’t quite mean that. But if what you tell me is true, I should like to have a serious talk about life with Lady Chiltern. SIR ROBERT CHILTERN. It would be quite useless. LORD GORING. May I try? SIR ROBERT CHILTERN. Yes; but nothing could make her alter her views. LORD GORING. Well, at the worst it would simply be a psychological experiment. SIR ROBERT CHILTERN. All such",885,1800s
"the market place, or the murmur of deep disapproval that rose from as many lips. At the door stood the grandmother to receive them. She caught the child to her bosom with delight at her courage, welcomed Curdie, and showed no dread of Lina. Many were the significant nods exchanged, and many a one said to another that the devil and the witch were old friends. But the woman was only a wise woman, who, having seen how Curdie and Lina behaved to each other, judged from that what sort they were, and so made them welcome to her house. She was not like her fellow",709,1800s
"accession to his fame. Proceeding upon these maxims, he could not be disappointed. The remedy played its part with such violence, as reduced the patient to extremity, and the merchant had actually bespoke an undertaker; when, after a series of swoonings and convulsions, nature so far prevailed, as to expel, at once, the prescription and the disease; yet the good-natured husband was so much affected with the agonies to which he saw the wife",6760,1700s
"last military exploit of the Templars, was made by the Christians to acquire once more a footing on the continent of Asia during the mastership of Molay. In 1300, the Mongol chief Gazan came to the aid of the king of Armenia, against the Turks. As it was the policy of the Tartars, who had not as yet embraced Islam, to stir up enemies to the Mohammedans, Gazan, after over-running the country as far as Damascus, sent an embassy to the Pope, Boniface VIII., inviting the Christians, particularly the three military orders, to",38785,1700s
"improves his understanding, and by such improvement he avoids the bitter fruits of sensuality, which are an enemy to reason, man's peculiar privilege: those bitter fruits are the passions and perturbations of the mind. Thou, moreover, freest him from the dreadful thoughts of death. How greatly is thy faithful disciple indebted to thee, since by thy assistance he enjoys this beautiful expanse of the visible world, which is really",30660,1400s
"For Banquo's issue have I filed my mind, For them the gracious Duncan have I murther'd, Put rancors in the vessel of my peace Only for them, and mine eternal jewel Given to the common enemy of man, To make them kings -the seed of Banquo kings! Rather than so, come, Fate, into the list, And champion me to the utterance! Who's there? Re-enter Attendant, with two Murtherers. Now go to the door, and stay there till we",1795,1500s
"Council simply as a means of unduly exalting the power of the Apostolic See, changing the ancient and genuine constitution of the Church, and setting up a spiritual domination incompatible with Christian liberty. Men do not scruple to apply party names to the head of the Church and to the Episcopate, which hitherto we have been accustomed to hear only from the lips of professed enemies of the Church. And they plainly avow their suspicion that the Bishops will not be",38116,1700s
"_dilatus_, _albolabris_, _angustidigitorum_, _fuscus_ and _grandis_) in his revision of the genus. Another species (_rufescens_) was subsequently described by Duellman and Dixon (1959). _Tomodactylus saxatilis_ differs from all the species named immediately above by the combination of characters given in the diagnosis. _Tomodactylus saxatilis_ differs from _nitidus_, _angustidigitorum_ and _grandis_ in having the tips of the two outer fingers widened and truncate; _saxatilis_ differs from _dilatus_, _albolabris_, _fuscus_ and _rufescens_ in having a smooth venter (not",31175,1900s
"by a town in the day time, and returning in the night, sets fire to three parts of it, and putting guards at the fourth, there seizes the people as they run out from the fire; he ties their arms behind them, and marches them either to Joar or Cohone, where he sells them to the Europeans."" [Footnote A: Moor, page 61.] [Footnote B: Idem, p. 46.] A. Brue, the French director, gives much the same account, and says,[A] ""That having received goods, he wrote to the King, that if he had a sufficient number of slaves, he was ready to trade with him. This Prince, as well as the other Negroe",11489,1700s
"was your enemy, ever spake against Your liberties and the charters that you bear I’ th’ body of the weal; and, now arriving A place of potency and sway o’ th’ state, If he should still malignantly remain Fast foe to th’ plebeii, your voices might Be curses to yourselves. You should have said That as his worthy deeds did claim no less Than what he stood for, so his gracious nature Would think upon you for your voices, and Translate his malice towards you into love,",1535,1500s
"that no thought of personal gain would move him. He must be made to feel that it was for the good of the State that the Consolidated be routed. Ridgway resolved to make him see it that way. CHAPTER VII. BACK FROM ARCADIA The president of the Mesa Ore-producing Company stepped from the parlor-car of the Limited at the hour when all wise people are taking life easy after a good dinner. He did not, however, drive to his club, but",2285,1800s
"concerning Christ being abolished. For they require only the Law and our works, because the Law demands love. Besides they teach us to be confident that we obtain remission of sins because of contrition and love. What else is this than to put confidence in our works, not in the Word and promise of God concerning Christ? But if the Law be sufficient for obtaining the remission of sins, what need is there of the Gospel? What need is there of Christ if we obtain",6744,1400s
"and we could soon leave them behind.” “Oh, give him anything!” said Syme eagerly. “I have piles of money on me.” “That will never do,” said the Colonel; “he will never have any respect for you unless you drive a bargain.” “Oh, if he haggles!” began Bull impatiently. “He haggles because he is a free man,” said the other. “You do not understand; he would not see the meaning of generosity. He is not being tipped.” And even while they seemed to hear the heavy feet of their strange pursuers behind them, they had to stand",1695,1800s
"and we will come in to dinner Clow. For the table sir, it shall be seru'd in, for the meat sir, it shall bee couered, for your comming in to dinner sir, why let it be as humors and conceits shall gouerne. Exit Clowne. Lor. O deare discretion, how his words are suted, The foole hath planted in his memory An Armie of good words, and I doe know A many fooles that stand in better place, Garnisht like him, that for a",2243,1500s
"the bedroom, keeping his face towards Rupert. “If the king asks more, tell him I have the packet and the letter,” said Rupert. The man bowed and passed into the bedroom. The king was asleep; when roused he seemed to know nothing of letter or packet, and to expect no visitor. Herbert’s ready fears revived; he whispered that the stranger carried a revolver. Whatever the king’s faults might be--and God forbid that I should",1145,1800s
"inspectantibus vobis, calamistratos istos milites, in solem et pulverem e suis umbraculis evocatos, non meis viribus, qui cum vestris centesima parte non sum conferendus, sed valentissima causa et certissima veritate debilitem. TERTIA RATIO NATVRA ECCLESIAE Audito iam Ecclesiae nomine, hostis expalluit. Sed tamen excogitavit quiddam, quod a vobis animadverti volo, ut falsi ruinam et inopiam cognoscatis. Senserat in Scripturis tum propheticis, tum apostolicis, ubique honorificam Ecclesiae",13133,1500s
"""We think this was a family."" ""I see,"" Thompson said. ""Did you find other skeletons?"" ""Many others. We found them almost everywhere but usually tucked away in corners, as if the people had tried to hide from something."" His voice went suddenly into uneasy silence. ""Any indication as to the cause of death?"" ""None. It apparently came on quite suddenly. We judge that the inhabitants had some warning. At least we do not seem to find enough skeletons for a city of this size, so we estimate that part of the population fled, or tried to."" ""I see,"" Thompson repeated",31948,1900s
"Guldran felt a throb of pity for the woman and her child, left behind by the men, no doubt, as a hindrance. But what a stroke of fortune that there should be left a male and female of the race to carry the seed of Terra to another planet. And what a triumph if he, Guldran, should be the one to return at the eleventh hour with the prize. No need of calling for help. This was no armed war-party, but the most defenseless being in the Universe--a mother burdened with a child. Guldran put on another",30348,1900s
"FAUST In every garb I needs must feel oppress'd, My heart to earth's low cares a prey. Too old the trifler's part to play, Too young to live by no desire possess'd. What can the world to me afford? Renounce! renounce! is still the word; This is the everlasting song In every ear that ceaseless rings, And which, alas, our whole life long, Hoarsely each passing moment sings. But to new horror I awake each morn, And I",3023,1700s
"fair Aminta, studious still of ways To have her wish, again to Alice came, To give dear Cleon notice of her flame. My home, cried she, 'tis requisite I leave: To ruin me, your cousin, I perceive, Is still resolved, for presents now he sends; But he mistakes, and blindly wealth expends; I'm clearly not the woman he suspects: See here, what jewels rare to please the sex! Nice rubies, diamonds too, but what is more,",5297,1600s
"she said. ""You must see that as a matter of business it would not do for us to talk about them."" Obey and keep silence: that is the Catholic law. And precisely as it is with the work of nursing and almsgiving, so it is with the work of vote-getting, the elaborate system of policemen and saloon-keepers and ward-heelers which the Catholic machine controls. This industry of vote-getting is a comparatively new",1558,1800s
"back a few feet in the darkness, ran, and jumped forward. The lights did not go on. He had jumped far enough. It was merely a pressure plate, designed to count visitors. But one visitor would activate the auditorium staff. And that he didn't want. He closed the door behind him and made his way into the balcony by way of a rest room. From the balcony he climbed into a box. From there a little used passageway",66154,1900s
"or disdain so clean, innocent, sweet, and Natural a Quality; compar'd with the Shambles Filth and _Nidor_, Blood and Cruelty; whilst all the World were _Eaters_, and _Composers_ of _Sallets_ in its best and brightest Age. The Ingredients therefore gather'd and proportion'd, as above; Let the _Endive_ have all its out-side Leaves stripped off, slicing _in_ the White: In like manner the _Sellery_ is also to have the hollow green Stem or Stalk trimm'd and divided; slicing-in the blanched Part,",15517,1600s
"please go, and leave me alone. LEBEDIEFF. I understand, I understand! [He glances at his watch] Yes, I understand. [He kisses IVANOFF] Good-bye, I must go to the blessing of the school now. [He goes as far as the door, then stops] She is so clever! Sasha and I were talking about gossiping yesterday, and she flashed out this epigram: ""Father,"" she said, ""fire-flies shine at night so that the night-birds may make them their prey, and",1755,1800s
"the sweet honeysuckle Gently entwist; the female ivy so Enrings the barky fingers of the elm. O, how I love thee! how I dote on thee! [They sleep] Enter PUCK OBERON. [Advancing] Welcome, good Robin. Seest thou this sweet sight? Her dotage now I do begin to pity; For, meeting her of late behind the wood, Seeking sweet favours for this hateful fool, I did upbraid her and fall out with her. For she his hairy temples then had rounded With coronet of fresh and fragrant flowers; And that same dew which sometime on the buds Was wont to swell",1778,1500s
"what pleases him, shall pleasure you: Fight closer, or good faith you'le catch a Blow Clarence. I feare her not, vnlesse she chance to fall Rich. God forbid that, for hee'le take vantages King. How many Children hast thou, Widow? tell me Clarence. I thinke he meanes to begge a Child of her Rich. Nay then whip me: hee'le rather giue her two Wid. Three, my most gracious Lord Rich. You shall haue foure, if you'le be rul'd by him King. 'Twere pittie they should lose their Fathers Lands Wid. Be pittifull, dread Lord, and graunt it then King. Lords giue vs leaue, Ile trye",2256,1500s
"Battle royal raged, terminating in both attorneys apologizing to the Court and to each other. And so it went, and to Watson it had the seeming of a group of pickpockets ruffling and bustling an honest man as they took his purse. The machine was working, that was all. “Why did you enter this place of unsavory reputations?” was asked him. “It has been my custom for many years, as a student of economics and sociology, to acquaint myself--” But this was as far as Watson got. “We want none of your ologies here,” snarled Judge Witberg. “It is a plain question. Answer it plainly. Is",1029,1800s
"stripes are faint posteriorly; throughout their length they are scalloped--the beginning of their fragmentation into spots (Fig. 2 B). In subadults (± 80 mm. snout-vent length) the paravertebral stripes are fragmented into spots posteriorly. Also, the dorsolateral stripes in some individuals are fragmented posteriorly. The dorsolateral dark fields are somewhat paler than the lateral dark fields. Cream-colored spots are present on the flanks. The mottling on the thighs tends towards the formation of light",33508,1900s
"a ride Would do his children good; But Jemmy's shoe-strings were untied, And on the stairs he stood. In hastening down to take his place Upon the carriage seat, Poor Jemmy lost his joyous face; Nor could he keep his feet. The dragging string had made him trip, And bump! bump! went his head;-- The teeth had struck and cut his lip, And tears and blood were shed. His aching wounds he meekly bore; But with a swelling heart He heard the carriage from the door, With all but him, depart. This grievous lesson taught him care, And gave his mind a spring; For he resolved no more to",11432,1700s
"is all they told me. No reason given."" Imazu studied Corun with his sharp black eye. ""You don't know either, eh? I've a notion that most of us won't live to find out."" ""I'm surprised that any crew could be made to go there without a mutiny."" ""This gang of bully boys is only frightened of Shorzon and his witch granddaughter. They--"" Imazu shut up. Looking around, Corun saw the two approaching. In the morning light, Chryseis did not seem the luring devil-woman of the night. She moved with easy grace across the rolling deck, the wind blowing her tunic",64049,1900s
"can be, The Sea will ebbe and flow, heauen will shew his face: Young bloud doth not obey an old decree. We cannot crosse the cause why we are borne: Therefore of all hands must we be forsworne King. What, did these rent lines shew some loue of thine? Ber. Did they, quoth you? Who sees the heauenly Rosaline, That (like a rude and sauage man of Inde.) At the first opening of the gorgeous East, Bowes not his vassall head, and strooken blinde, Kisses the base ground with obedient breast? What peremptory Eagle-sighted",1109,1500s
"above one hundred in number, were kept bound, whom the Captain commanded to be affixed to posts and burnt; yet the King of the whole Countrey escaped, and betook himself with a Train of thirty or forty Gentlemen, to a Temple (called in their Tongue _Quu_) which he made use of as a Castle or Place of Defence, and there defended himself a great part of the day, but the Spaniards who suffer none to escape out of their clutches, especially Souldiers, setting fire to the Temple, burnt all those that were there inclosed, who brake out into these dying words and exclamations. O",20321,1400s
"Thorne. Perhaps she'll be pleased.” It was simple enough, apparently, for the desired gift was always close at hand. He followed it across the hill, and bent a score of times to pick it up, but it was a guileful squirrel and escaped with great regularity. Suddenly, with a flaunt of its bushy tail and a daring, backward glance, it scampered under the gate into Miss Ainslie's garden and Winfield laughed aloud. He had",1266,1800s
"the station and down the small gravel walk to the house where the surf-boat was kept. ""This is a quiet station. People don't fetch out this way very often, and we're not called out very often, either. We're an inside post, you see, and usually we don't get a call unless the sea's so high that the Cliff House station can't launch their boat. So, you see, we don't go out much, but when we DO, it means business with a great big B. Now, this here,",401,1800s
"alreadie on the sea, Darts forth her light to _Lauinias_ shoare. _Iuno._ Faire Queene of loue, I will deuorce these doubts, And finde the way to wearie such fond thoughts: This day they both a hunting forth will ride Into these woods, adioyning to these walles, When in the midst of all their gamesome sports, Ile make the Clowdes dissolue their watrie workes, And drench _Siluanus_ dwellings with their shewers, Then in one Caue the Queene and he shall meete, And interchangeably discourse their thoughts, Whose short conclusion will seale vp their",16169,1500s
"the opinions of the adversaries, these passages should be interpreted in a new way [these passages should put on new coats]: Bring forth fruits meet for repentance; Repent, i.e., suffer the punishments of purgatory after this life. But we do not care about refuting in more words these absurdities of the adversaries. For it is evident that Scripture speaks of works that are due, of the entire newness of life, and not of these observances of works that are not",6744,1400s
"had cut off, in spite of myself, in ceremony, the end of my prepuce, and it made me ill for a fortnight. The dervish who prays for us is my master; an iman is still more my master; the mollah is still more my master than the iman. The cadi is another master; the cadi-leskier is master still more; the mufti is much more master than all these together. The grand vizier's kaia can with a word have me thrown into the canal; and the grand vizier, finally, can have",18569,1600s
"to the barber’s, with your beard.—Prithee say on. He’s for a jig or a tale of bawdry, or he sleeps. Say on; come to Hecuba. FIRST PLAYER. _But who, O who, had seen the mobled queen,—_ HAMLET. ‘The mobled queen’? POLONIUS. That’s good! ‘Mobled queen’ is good. FIRST PLAYER. _Run barefoot up and down, threat’ning the flames With bisson rheum. A clout upon that head Where late the diadem stood, and for a robe, About her lank and all o’erteemed loins, A blanket, in th’alarm of fear",1524,1500s
"_all _[necessary] _things shall be added_. And why should we deceive ourselves with gay and splendid expectations? _Riches make themselves wings and soon fly away_. CHAP. XI. Plans suggested to the pious and benevolent for promoting a Reformation among the Gipsies. As no event happens without a cause, so no good is accomplished without means. It is in the power of man as an instrument, frequently to make his",19852,1700s
"sacred idol of his soul: sometimes he thought his uncle would be generous, and think it fit to give him _Sylvia_; but that thought was too seraphic to remain a moment in his heart. ‘Sir,’ replied _Octavio_, ‘I own I said so of _Sylvia_, and hope no action she has committed since she had a protection under your roof has contradicted any thing I said. ‘No,’ said _Sebastian_, sighing--and pausing, as loath to speak more:",8409,1600s
"of Riches; to renounce the Pomp and Vanity of the World, and mortify the Flesh, is certain: And that this was striking at the very Fundamentals of Human Nature, is as certain. This could only be perform'd by Men preternaturally affected; and therefore the Founders of Christianity being gone, it could not be expected, that the same Austerity of Life and Self-denial should be continued among the Successors of them, as soon as the Ministry of the Gospel became a Calling, that Men were brought up to for a Livelihood; and considering how",7819,1600s
"to take our ease and do no works, content with faith?"" Not so, impious men, I reply; not so. That would indeed really be the case, if we were thoroughly and completely inner and spiritual persons; but that will not happen until the last day, when the dead shall be raised. As long as we live in the flesh, we are but beginning and making advances in that which shall be completed in a future life. On this account the Apostle calls that which we have in this life the firstfruits of the Spirit (Rom. viii. 23). In future we shall have the tenths, and the fullness of the Spirit. To this part",1911,1400s
"In thy hands clutch'd as many millions, in Thy lying tongue both numbers, I would say 'Thou liest' unto thee with a voice as free As I do pray the gods. SICINIUS. Mark you this, people? PLEBEIANS. To th' rock, to th' rock, with him! SICINIUS. Peace! We need not put new matter to his charge. What you have seen him do and heard him speak, Beating your officers, cursing yourselves, Opposing laws with strokes, and here defying Those whose great power must try him- even this, So criminal and in such capital kind, Deserves th' extremest death. BRUTUS. But",1797,1500s
"the gentlemen are in sad talk, and we'll not trouble them. Come, bring away thy pack after me. Wenches, I'll buy for you both. Pedlar, let's have the first choice. Follow me, girls. Exit with DORCAS and MOPSA AUTOLYCUS. And you shall pay well for 'em. Exit AUTOLYCUS, Singing Will you buy any tape, Or lace for your cape, My dainty duck, my dear-a? Any silk, any thread, Any toys for your head, Of the new'st and fin'st, fin'st wear-a? Come to the pedlar; Money's a meddler That doth utter all men's ware-a. Re-enter SERVANT SERVANT.",1800,1500s
"the ground, and is then buried. {10b} Note 4, page 10. “_Flies_.” This is perhaps an anachronism. Even speaking of to-day in Tahiti, the phrase would have to be understood as referring mainly to mosquitoes, and these only in watered valleys with close woods, such as I suppose to form the surroundings of Rahéro’s homestead. Quarter of a mile away, where the air moves freely, you shall look in vain for one. {13} Note 5, page 13. “_Hook_” of mother-of-pearl.",413,1800s
"of her: I had my selfe twentie Angels giuen me this morning, but I defie all Angels (in any such sort, as they say) but in the way of honesty: and I warrant you, they could neuer get her so much as sippe on a cup with the prowdest of them all, and yet there has beene Earles: nay, (which is more) Pentioners, but I warrant you all is one with her Fal. But what saies shee to mee? be briefe my good sheeMercurie Qui. Marry, she hath receiu'd your Letter: for the which she thankes you a thousand times; and she giues you to notifie, that her husband will be absence",1116,1500s
"gun butt, waiting until he had to pull it. Schwenky said: ""Come here, Mr. Perkins, sir. Look see what has happened!"" The Englishman peered at the shapeless, hairy mass of the unconscious Captain. His face went white. Gene knew he was wondering if he could keep the crew from mutiny without the Captain present to cow them. Perkins straightened, his face a pallid mask in the dimness. ""What happened, Schwenky?"" ""This, Mr. Perkins, sir--"" said Schwenky. He slapped an open palm against the side of Perkins' head.",32615,1900s
"his face in his hands the Sagoth guardsman grasped me roughly by the shoulder and hustled me from the chamber. XI FOUR DEAD MAHARS A moment later I was standing before a dozen Mahars--the social investigators of Phutra. They asked me many questions, through a Sagoth interpreter. I answered them all truthfully. They seemed particularly interested in my account of the outer earth and the strange vehicle which had brought Perry and me to Pellucidar. I thought that I had convinced them, and after they had sat in silence for a long",545,1800s
"but that neither at the Bed of justice, nor since, he had dared to show his trouble. The truth is he had his eyes dry and serene the whole time, and pronounced the name of the Duc du Maine only once since, which was after dinner the same day, when he asked where he had gone, with a very indifferent air, without saying a word more, then or since, or naming his children, who took little trouble to see him; and when they went it",3871,1600s
"so penetrating, that no retreat was any security from them. The flood descended into the cellar below our house, and destroyed a quantity of powder and tea; a loss irreparable in our situation. The noise made by the frogs which this inundation produced, is almost incredible. There is strong reason to believe that they outlive the severity of winter. They have often been found frozen and revived by warmth, nor is it possible that the multitude which incessantly filled our ears with its discordant notes could have",18979,1700s
"while vpon some horrid message for a Challenge Ol. I haue said too much vnto a hart of stone, And laid mine honour too vnchary on't: There's something in me that reproues my fault: But such a head-strong potent fault it is, That it but mockes reproofe Vio. With the same hauiour that your passion beares, Goes on my Masters greefes Ol. Heere, weare this Iewell for me, tis my picture: Refuse it not, it hath no tongue, to vex you: And I beseech you come againe to morrow. What shall you aske of me that Ile deny, That honour (sau'd) may vpon asking giue Vio. Nothing",2247,1500s
"on either side of the head, are not ears at all. They are merely feathers. They may well serve to distinguish this bird from the Acadian or Saw-whet Owl which is not at all common. Nest: The nest of the Screech Owl is often placed in a hole in a hollow tree. The pure white eggs, some five or six in number, are laid in April. When night time comes, the Whip-poor-will sings, The Owl sails off on noiseless wings To search for mice and other things; And I go home to bed.",57134,1900s
"at us, and a big bright amber-coloured cobra, as handsome as he is deadly, wriggled across into a hole. Nearly all the people in this village are Dutch. There is one Malay tailor here, but he is obliged to be a Christian at Caledon, though Choslullah told me with a grin, he was a very good Malay when he went to Capetown. He did not seem much shocked at this double religion, staunch Mussulman as he was himself. I suppose the blacks ‘up country’ are what Dutch slavery made them—mere animals—cunning and sulky. The real Hottentot is extinct, I believe, in the Colony; what one now",886,1800s
"wyll dyspute of the gospell with the whan I am sobre. Canni. When shal I se the sobre? Poli. When I shall be sobre. Cannius. Whê wyll that be? Poliph. When thou shalt se me, in the meane season god be with you gentle Cannius and well mot you do. Cannius. And I wyshe to you a gayne for my parte that thou ware in dede as valiaunt or pusaunt a felowe as thy name soundeth. Poliphe. And bycause ye shall lose nothynge at my ||hande with wyshynge I pray god that Cannius maye neuer lacke a good can or a stoope of wine or bere, wherof he had his name. F I N I S * * * * *",14500,1400s
"niece. Filmore has adopted her, and she lives with them, so you will have her for a neighbour when we go home--perhaps for a near relation; for there is a tenderness between her and Alfred, I suspect, and I should be gratified by the match, since Filmore means to provide for her in every way as if she were his daughter. It had not occurred to me that you knew nothing about her living with the Filmores."" He made no further allusion to the fact of my having fainted at the moment of",2165,1800s
"a personal insult. If he makes a bad stroke he seems to think that the way to retrieve it is to deliver the next one on the head of the other player. He does not tarry for the invitation to lay on; and before you know what has happened you find yourself in a position where you are obliged to cry, ""Hold, enough!"" and to be liberally damned without any bargain to that effect. This is discouraging, and calculated to make one wish that human intercourse might be put, as far as Macduff is concerned, upon the gold basis of silence. On the other",1139,1800s
"not be required out of the county without the consent of the persons who composed it. ""Aye,"" said I, ""that is very true, and we are now, I understand, called together to be asked if we will consent, in case of an invasion, to go out of the county."" My speech was broken short by some of them espying our gallant Cornet, moving majestically but slowly along, over the adjoining hill. As he approached us, he was saluted by each of the members in their turn; but, when he",8685,1700s
"curse them! Sixty-five more years without the possibility of illness, want, risk.... Even an accident is unlikely. Nothing's going to happen in all that time! Jan, I just can't face it."" ""Isn't that just like a man?"" she scoffed. ""You know very well _I've_ got _seventy_ years to go--five still to wait before I can even have my first child! You're just being selfish!"" They glowered at each other. Then Les rubbed her cheek with the back of his hand, and smiled. ""Thanks, kid,"" he said. ""You really had",66142,1900s
"wedlock oft by many princes sought; Within her form, the wily demon thought He might be sheltered from Honesta's rage; And none to drive him thence would dare engage. NAUGHT else was talked of, in or out of town, But devils driven by the cunning clown; Large sums were offered, if, by any art, He'd make the demon from the fair depart. AFFLICTED much was Matthew, now to lose The gold thus tendered, but he could not choose, For since Belphegor had obliged him thrice, He durst not hope the demon to entice; Poor man was he, a sinner, who, by chance, (He knew not",5283,1600s
"though a moderate proportion chears and fortifies the Spirits, yet too much greatly disorders them, and thereby People are more expos'd to take Infection. Letting of Blood in time of Plague has been observ'd to be very pernicious; so also oft or strong Purging; for the Veins being emptied either way, will readily suck in whatever poysonous Atoms lurk in the outward Pores of the Body, which being admitted, become the more prevalent, because the Spirits being depauperated, are less able to subdue or repel them. Thus much of the way of Preservation: Next we are to treat of the",49299,1600s
"to give trouble-free service for at least forty years. Sixteen motor centers are fed by the central power plant, all coordinated and synchronized by the best flui-electronic brain ever devised. Sturdy TS steel alloy construction over all gives the Model I its phenomenal strength and durability. And the surface tissue, made of a new patented miracle material, combines the best features of esthetic and functional",66713,1900s
"be To hear you lisp of ""Poesie""! A heavy-handed blow, I think, Would make your veins drip scented ink. You strut and smirk your little while So mildly, delicately vile! Your tiny voices mock God's wrath, You snails that crawl along His path! Why, what has God or man to do With wet, amorphous things like you? This thing alone you have achieved: Because of you, it is believed That all who earn their bread by rhyme Are like yourselves, exuding",263,1800s
